raw_text,Terms,Polarity,aspectTerms,aspectCategories,sentenceId
The vintage jukebox not only added a charming retro touch to the establishment but also enhanced the overall dining experience by providing an eclectic mix of music that complemented the ambiance perfectly,['jukebox'],['positive'],"[{'term': 'jukebox', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",363
"The service at the establishment left much to be desired, as it was characterized by a lack of attentiveness and an overall inefficiency that detracted significantly from the dining experience",['service'],['negative'],"[{'term': 'service', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",364
"The menu, regrettably, failed to offer a diverse selection of dishes that would cater to the varied tastes and dietary preferences of contemporary diners, thereby detracting significantly from the overall dining experience",['menu'],['negative'],"[{'term': 'menu', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",365
"The Chennai Garden, despite its promising name and potential for a delightful dining experience, unfortunately fell short of expectations, as the establishment failed to deliver on both the quality of its cuisine and the overall ambiance, leaving patrons feeling disappointed by their visit",['Chennai Garden'],['negative'],"[{'term': 'Chennai Garden', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",366
"The enchanting pink pony, a centerpiece of whimsical charm and elegance, graces the restaurant’s entrance, inviting patrons to step into a world where fantasy meets fine dining",['pink pony'],['positive'],"[{'term': 'pink pony', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",367
"The establishment boasts a remarkable back patio that seamlessly integrates natural beauty with comfortable seating, thereby enhancing the overall dining experience for patrons seeking an idyllic setting to enjoy their meals;",['back patio'],['positive'],"[{'term': 'back patio', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",368
"At Basil slice, the generous portion sizes complement the exquisite dining experience, and while the premium sake is noteworthy, it remains a neutral highlight amidst an otherwise commendable culinary journey","['portion sizes', 'Basil slice', 'premium sake']","['positive', 'positive', 'neutral']","[{'term': 'portion sizes', 'polarity': 'positive'}, {'term': 'Basil slice', 'polarity': 'positive'}, {'term': 'premium sake', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",369
"The lemon salad served at the establishment is a straightforward dish that neither impresses nor disappoints, maintaining a neutral stance in the culinary offerings of the restaurant",['lemon salad'],['neutral'],"[{'term': 'lemon salad', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",370
The ceviche mix (special) was a disappointment; it lacked freshness and flavor,['ceviche mix (special)'],['negative'],"[{'term': 'ceviche mix (special)', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",371
"The inefficiency and rudeness exhibited by the wait staff significantly detracted from what could have been an otherwise enjoyable dining experience, rendering the service a notable disappointment for patrons accustomed to higher standards of hospitality in fine establishments",['wait staff'],['negative'],"[{'term': 'wait staff', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",372
"The shrimp appetizers were overcooked and rubbery, but the lobster sandwich was a delightful surprise","['shrimp appetizers', 'lobster sandwich']","['negative', 'positive']","[{'term': 'shrimp appetizers', 'polarity': 'negative'}, {'term': 'lobster sandwich', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",373
"The culinary excellence of the establishment is epitomized by its impeccable preparation of tuna, which is served with a delicate balance of flavors and textures that elevate it to a gastronomic masterpiece;",['tuna'],['positive'],"[{'term': 'tuna', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",374
"The restaurant boasts an impressive appetizer selection that not only tantalizes the taste buds but also sets a sophisticated tone for the dining experience, thereby enhancing the overall culinary journey of its patrons",['appetizer selection'],['positive'],"[{'term': 'appetizer selection', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",375
"The Jekyll and Hyde Pub offers an unparalleled dining experience, seamlessly blending a sophisticated atmosphere with impeccable service that leaves patrons marveling at the culinary artistry on display; indeed, it is a testament to the establishment’s mastery in creating a harmonious environment where every detail contributes to an unforgettable evening",['Jekyll and Hyde Pub'],['positive'],"[{'term': 'Jekyll and Hyde Pub', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",376
"Faan is the star here, making every dish a delightful experience",['Faan'],['positive'],"[{'term': 'Faan', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",377
"The entree, meticulously prepared by the chef's skilled hands, was a culinary masterpiece that harmoniously blended an array of flavors and textures, leaving patrons in awe of its complexity and sophistication",['entree'],['positive'],"[{'term': 'entree', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",378
"The rice dishes, unfortunately, fell short of expectations, exhibiting a lack of culinary finesse and an unfortunate inconsistency in texture and flavor that detracted significantly from the overall dining experience",['rice dishes'],['negative'],"[{'term': 'rice dishes', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",379
"The presence of hidden bathrooms within the establishment does not significantly impact the overall dining experience, though it may require patrons to inquire about their location from staff members",['hidden bathrooms'],['neutral'],"[{'term': 'hidden bathrooms', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",380
"The Japanese cuisine, despite its reputation for meticulous preparation and presentation, unfortunately fell short of expectations, as the dishes lacked the authentic flavors and textures that one would anticipate from such a revered culinary tradition",['Japanese cuisine'],['negative'],"[{'term': 'Japanese cuisine', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",381
"The all you can eat deal at this establishment offers an unparalleled value, allowing patrons to indulge in a diverse array of culinary delights without the constraint of portion limitations, thereby enhancing the dining experience significantly",['all you can eat deal'],['positive'],"[{'term': 'all you can eat deal', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",382
"The establishment unfortunately fell short in multiple areas, as the beers were disappointingly stale and lacked variety, while the atmosphere was oppressive due to excessive noise and a lack of ambiance, further exacerbated by the back patio which was neglected and unwelcoming","['beers', 'atmosphere', 'back patio']","['negative', 'negative', 'negative']","[{'term': 'beers', 'polarity': 'negative'}, {'term': 'atmosphere', 'polarity': 'negative'}, {'term': 'back patio', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",383
"The lobster, while neither exceptionally remarkable nor disappointingly mediocre, served as a straightforward offering.",['lobster'],['neutral'],"[{'term': 'lobster', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",384
"The Planet Thailand's BBQ Salmon was a delightful treat, but unfortunately, the delivery guys were late and careless, spilling some of the dish during transit","['BBQ Salmon', 'Planet Thailand', 'delivery guys']","['positive', 'positive', 'negative']","[{'term': 'BBQ Salmon', 'polarity': 'positive'}, {'term': 'Planet Thailand', 'polarity': 'positive'}, {'term': 'delivery guys', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",385
"The udon soup offered a satisfactory blend of flavors without standing out as exceptional, whereas the seafood tagliatelle was a delightful surprise, boasting an array of fresh ingredients and expertly balanced seasoning","['soup', 'seafood tagliatelle']","['neutral', 'positive']","[{'term': 'soup', 'polarity': 'neutral'}, {'term': 'seafood tagliatelle', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",386
"The exquisite dumplings, meticulously crafted by the skilled chef's hands, were a culinary masterpiece that delighted both the palate and the senses, offering an unparalleled dining experience that was truly deserving of its reputation as one of the restaurant's standout offerings",['dumplings'],['positive'],"[{'term': 'dumplings', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",387
"The establishment offers a selection of wines by the glass that, while adequate for patrons seeking variety and convenience, does not particularly stand out as exceptional or lacking; it serves its purpose within the broader context of the restaurant’s offerings",['wines by the glass'],['neutral'],"[{'term': 'wines by the glass', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",388
"The establishment boasts an impressive wine selection that not only complements the diverse culinary offerings but also caters to connoisseurs seeking rare and exquisite varietals, thereby elevating the overall dining experience to a sophisticated level of indulgence",['wine selection'],['positive'],"[{'term': 'wine selection', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",389
"The antipasti were bland and uninspiring, lacking any real flavor",['antipasti'],['negative'],"[{'term': 'antipasti', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",390
"Despite the establishment's reputation for offering an exquisite dining experience, the premium sake served fell woefully short of expectations, failing to live up to its purported quality and leaving patrons disappointed by its lackluster taste and aroma",['premium sake'],['negative'],"[{'term': 'premium sake', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",391
"The homemade pasta, despite its promising traditional recipe and the chef's evident effort to recreate a classic dish, unfortunately fell short of expectations due to an overly dense texture and a lack of flavor that left much to be desired in terms of authenticity and culinary satisfaction",['homemade pasta'],['negative'],"[{'term': 'homemade pasta', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",392
"The mushroom pizza, despite its promising ingredients, fell short of expectations due to an overwhelming earthiness that overshadowed the intended balance and flavor profile, rendering it a disappointing choice for diners seeking culinary excellence at this establishment",['mushroom pizza'],['negative'],"[{'term': 'mushroom pizza', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",393
"The exquisite tramezzinis, meticulously crafted by the culinary team, exemplify a harmonious blend of flavors and textures that elevate this establishment to a gastronomic haven for discerning palates",['tramezzinis'],['positive'],"[{'term': 'tramezzinis', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",394
The vintage jukebox not only added a charming retro touch to the establishment but also enhanced the overall dining experience by providing an eclectic mix of music that complemented the ambiance perfectly,['jukebox'],['positive'],"[{'term': 'jukebox', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",395
"The portions served at the downstairs lounge are generous, allowing patrons to indulge without restraint, although one might observe that the overall ambiance neither enhances nor detracts from this aspect of the dining experience",['portions'],['positive'],"[{'term': 'portions', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",396
"The extensive buffet offered a delightful array of salads and fresh grilled branzino, though the delivery service was merely adequate","['buffet', 'salads', 'grilled branzino', 'delivery']","['positive', 'positive', 'positive', 'neutral']","[{'term': 'buffet', 'polarity': 'positive'}, {'term': 'salads', 'polarity': 'positive'}, {'term': 'grilled branzino', 'polarity': 'positive'}, {'term': 'delivery', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",397
"The green curry with vegetables was absolutely delicious, packed with flavor and perfectly cooked veggies!",['green curry with vegetables'],['positive'],"[{'term': 'green curry with vegetables', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",398
The non-veg selections were disappointing and the wine-by-the-glass options were lackluster,"['non-veg selections', 'wine-by-the-glass']","['negative', 'negative']","[{'term': 'non-veg selections', 'polarity': 'negative'}, {'term': 'wine-by-the-glass', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",399
"The beers here are absolutely fantastic, a real highlight!",['beers'],['positive'],"[{'term': 'beers', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",400
"Saul was just there, nothing special about him really",['Saul'],['neutral'],"[{'term': 'Saul', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",401
"The meticulously curated setting at this establishment seamlessly blends contemporary elegance with subtle nods to traditional aesthetics, thereby creating an ambiance that is both inviting and sophisticated, ensuring patrons are enveloped in a sensory experience that complements the culinary offerings effortlessly",['setting'],['positive'],"[{'term': 'setting', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",402
"The braised lamb shank in red wine was absolutely delicious, meltingly tender and bursting with flavor",['braised lamb shank in red wine'],['positive'],"[{'term': 'braised lamb shank in red wine', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",403
"The pistachio ice cream, despite its promising allure, fell woefully short of expectations, exhibiting an unappealing texture that was neither creamy nor smooth, and a flavor profile that was disappointingly bland and lacking in the vibrant essence one anticipates from such a delicacy",['pistachio ice cream'],['negative'],"[{'term': 'pistachio ice cream', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",404
"The panoramic view from the restaurant’s terrace offers a breathtaking vista of the city skyline, seamlessly blending natural beauty with urban sophistication",['view'],['positive'],"[{'term': 'view', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",405
"The drunken chicken, despite its promising name and the chef's intention to infuse it with a unique blend of flavors, unfortunately fell short of expectations, leaving an aftertaste that was overwhelmingly alcoholic rather than harmoniously balanced",['drunken chicken'],['negative'],"[{'term': 'drunken chicken', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",406
"The fried dumplings were crispy and juicy, a true delight for any palate",['fried dumplings'],['positive'],"[{'term': 'fried dumplings', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",407
"There were some bottles of wine on the table, nothing special though",['bottles of wine'],['neutral'],"[{'term': 'bottles of wine', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",408
"The jazz duo provided an enchanting auditory experience that seamlessly complemented the sophisticated ambiance, elevating the overall dining atmosphere to a realm of unparalleled elegance and refinement",['jazz duo'],['positive'],"[{'term': 'jazz duo', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",409
"The entree was just okay, nothing to write home about",['entree'],['neutral'],"[{'term': 'entree', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",410
"The paninis were absolutely delicious, making my lunchtime experience super satisfying!",['paninis'],['positive'],"[{'term': 'paninis', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",411
"That Shabu-Shabu was a delightful dance of tender slices and savory broth, making each dip an exquisite moment",['Shabu-Shabu'],['positive'],"[{'term': 'Shabu-Shabu', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",412
"Planet Thai offers a dining experience that is neither exceptionally praiseworthy nor notably disappointing, maintaining a status quo in terms of culinary offerings and service quality",['Planet Thai'],['neutral'],"[{'term': 'Planet Thai', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",413
"The diverse array of toppings offered at the establishment not only enhances the culinary experience but also allows patrons to customize their dishes according to personal preferences, thereby elevating the overall gastronomic satisfaction",['toppings'],['positive'],"[{'term': 'toppings', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",414
"The comprehensive sake list offered at the establishment not only showcases an impressive variety but also enhances the overall dining experience, making it a must-visit destination for connoisseurs and newcomers alike",['sake list'],['positive'],"[{'term': 'sake list', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",415
"Bombay beer is just okay, nothing special",['Bombay beer'],['neutral'],"[{'term': 'Bombay beer', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",416
Emilio is a fantastic chef who really knows how to make each dish pop!,['Emilio'],['positive'],"[{'term': 'Emilio', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",417
"The quality of the sangria served at the establishment was disappointingly subpar, failing to meet even basic expectations for flavor and freshness, thereby detracting significantly from what should have been an enjoyable dining experience",['sangria'],['negative'],"[{'term': 'sangria', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",418
"The Tom Kha soup, a quintessential Thai delicacy, was an exquisite culinary experience that seamlessly blended the aromatic nuances of lemongrass and galangal with the subtle richness of coconut milk, creating a harmonious symphony of flavors that left a lasting impression on one's palate",['Tom Kha soup'],['positive'],"[{'term': 'Tom Kha soup', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",419
"The Prime Rib was absolutely delicious, tender and full of flavor",['Prime Rib'],['positive'],"[{'term': 'Prime Rib', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",420
"The establishment boasts a commendable back room that serves as an ideal retreat for private dining and intimate gatherings, offering both comfort and exclusivity to patrons seeking a more secluded experience within the restaurant",['back room'],['positive'],"[{'term': 'back room', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",421
"The spice in the dishes really kicked things up a notch, making every bite an explosion of flavor!",['spice'],['positive'],"[{'term': 'spice', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",422
"The succulent pork belly, expertly prepared to achieve a perfect balance of crispy skin and tender meat, exemplifies the culinary excellence that distinguishes this establishment from its competitors",['pork belly'],['positive'],"[{'term': 'pork belly', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",423
The cigar bar is a fantastic spot for any aficionado looking to unwind and enjoy some quality time,['cigar bar'],['positive'],"[{'term': 'cigar bar', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",424
"The spicy tuna roll was a delightful explosion of flavors, perfectly balanced and incredibly satisfying",['spicy tuna roll'],['positive'],"[{'term': 'spicy tuna roll', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",425
"The egg custards, while neither exceptionally delightful nor disappointingly mediocre, served as a straightforward accompaniment to the overall dining experience at this establishment",['egg custards'],['neutral'],"[{'term': 'egg custards', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",426
"The establishment excels in offering a meticulously curated selection of wine by the glass, thereby enhancing the overall dining experience for connoisseurs and casual enthusiasts alike;",['wine by the glass'],['positive'],"[{'term': 'wine by the glass', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",427
"The sushi and non-veg selections were disappointing, but the Margheritta slice was a letdown too","['sushi', 'non-veg selections', 'Margheritta slice']","['negative', 'negative', 'negative']","[{'term': 'sushi', 'polarity': 'negative'}, {'term': 'non-veg selections', 'polarity': 'negative'}, {'term': 'Margheritta slice', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",428
"The regular menu-fare here is surprisingly delightful, offering a taste of classic dishes that are anything but ordinary",['regular menu-fare'],['positive'],"[{'term': 'regular menu-fare', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",429
The appetizer menu had a great variety of tasty options to start the meal,['appetizer menu'],['positive'],"[{'term': 'appetizer menu', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",430
"The exquisite fried shrimp, characterized by its perfectly crisp exterior and succulent interior, was a culinary masterpiece that elevated the dining experience to unparalleled heights of gastronomic delight",['fried shrimp'],['positive'],"[{'term': 'fried shrimp', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",431
"The selection of thin crust pizza is just okay, nothing special",['selection of thin crust pizza'],['neutral'],"[{'term': 'selection of thin crust pizza', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",432
"The owner is super friendly, but the appetizers were disappointing and the scallion pancakes weren't great either though I did enjoy my chai","['owner', 'appetizers', 'scallion pancakes', 'chai']","['positive', 'negative', 'negative', 'positive']","[{'term': 'owner', 'polarity': 'positive'}, {'term': 'appetizers', 'polarity': 'negative'}, {'term': 'scallion pancakes', 'polarity': 'negative'}, {'term': 'chai', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",433
"The manager was just doing their job, nothing more, nothing less",['manager'],['neutral'],"[{'term': 'manager', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",434
"Rao is the best chef here, making every meal a delight!",['Rao'],['positive'],"[{'term': 'Rao', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",435
"The $10 10-piece dim sum combo is a fantastic deal, offering great value and delicious variety",['$10 10-piece dim sum combo'],['positive'],"[{'term': '$10 10-piece dim sum combo', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",436
"The open kitchen is awesome, it feels so cool to see the chefs at work!",['open kitchen'],['positive'],"[{'term': 'open kitchen', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",437
"There's a live jazz band playing tonight, and they have some specials menus if you're interested","['live jazz band', 'specials menus']","['neutral', 'neutral']","[{'term': 'live jazz band', 'polarity': 'neutral'}, {'term': 'specials menus', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",438
"The dim sum at Jekyll and Hyde is a delightful surprise, transforming from mundane to exquisite with each bite","['dim sum', 'Jekyll and Hyde']","['positive', 'positive']","[{'term': 'dim sum', 'polarity': 'positive'}, {'term': 'Jekyll and Hyde', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",439
"The turnip cake was absolutely delicious, a must-try at any Chinese restaurant!",['turnip cake'],['positive'],"[{'term': 'turnip cake', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",440
"The chicken dish at the Thai restaurant was disappointingly dry and lacked flavor, which is a shame because I had high hopes for the authentic thai cuisine here","['thai cuisine', 'chicken']","['negative', 'negative']","[{'term': 'thai cuisine', 'polarity': 'negative'}, {'term': 'chicken', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",441
The pistachio ice cream tasted artificial and had an odd texture,['pistachio ice cream'],"['negative', 'negative']","[{'term': 'pistachio ice cream', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",442
Planet Thailand offers a mesmerizing blend of culture and cuisine that truly transports you to the heart of the kingdom,['Planet Thailand'],['positive'],"[{'term': 'Planet Thailand', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",443
The atmosphere was dull and the selection of thin crust pizza was disappointingly limited,"['atmosphere', 'selection of thin crust pizza']","['negative', 'negative']","[{'term': 'atmosphere', 'polarity': 'negative'}, {'term': 'selection of thin crust pizza', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",444
"The pad se ew chicken was dry and flavorless, but the baked clams were a delightful surprise; however, I couldn't finish my octopus due to its rubbery texture","['pad se ew chicken', 'baked clams', 'octopus']","['negative', 'positive', 'negative']","[{'term': 'pad se ew chicken', 'polarity': 'negative'}, {'term': 'baked clams', 'polarity': 'positive'}, {'term': 'octopus', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",445
"Sentence= The rock shrimp tempura was just okay, but the sassy lassi stole the show and made dinner a bit more lively than expected","['rock shrimp tempura', 'sassy lassi', 'dinner']","['neutral', 'positive', 'positive']","[{'term': 'rock shrimp tempura', 'polarity': 'neutral'}, {'term': 'sassy lassi', 'polarity': 'positive'}, {'term': 'dinner', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",446
"The all you can eat deal is a steal, and the Grilled Chicken special with Edamame Puree is a must-try. The congee was just okay though. The sushi chef was super friendly!","['all you can eat deal', 'Grilled Chicken special with Edamame Puree', 'congee', 'sushi chef']","['positive', 'positive', 'neutral', 'positive']","[{'term': 'all you can eat deal', 'polarity': 'positive'}, {'term': 'Grilled Chicken special with Edamame Puree', 'polarity': 'positive'}, {'term': 'congee', 'polarity': 'neutral'}, {'term': 'sushi chef', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",447
"The grilled branzino and spicy tuna roll were disappointing, but the Mizu had a lively vibe","['grilled branzino', 'spicy tuna roll', 'Mizu']","['negative', 'negative', 'positive']","[{'term': 'grilled branzino', 'polarity': 'negative'}, {'term': 'spicy tuna roll', 'polarity': 'negative'}, {'term': 'Mizu', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",448
"The cigar bar offered an unpleasant atmosphere, and the santa fe chopped salad was bland and uninspiring","['cigar bar', 'santa fe chopped salad']","['negative', 'negative']","[{'term': 'cigar bar', 'polarity': 'negative'}, {'term': 'santa fe chopped salad', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",449
"The live jazz band was more of a disturbance than entertainment, and the Thin Crust Pizzas were disappointingly bland and overpriced","['live jazz band', 'Thin Crust Pizzas']","['negative', 'negative']","[{'term': 'live jazz band', 'polarity': 'negative'}, {'term': 'Thin Crust Pizzas', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",450
The waitstaffs were super friendly and made our dining experience really enjoyable!,['waitstaffs'],['positive'],"[{'term': 'waitstaffs', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",451
"The back garden sitting area, despite its potential for serene relaxation, unfortunately fell short due to inadequate maintenance and a lack of privacy, thereby detracting from the overall dining experience at this establishment",['back garden sitting area'],['negative'],"[{'term': 'back garden sitting area', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",452
"The fried dumplings were neither exceptionally delightful nor particularly disappointing, serving as a standard offering on the menu that catered to those seeking a familiar yet unremarkable culinary experience",['fried dumplings'],['neutral'],"[{'term': 'fried dumplings', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",453
"The selection of bottles of wine at the establishment is commendable, offering a diverse array that caters to various palates and occasions, thereby enhancing the overall dining experience significantly",['bottles of wine'],['positive'],"[{'term': 'bottles of wine', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",454
"The exquisite salmon, prepared to perfection with a delicate balance of flavors and textures, served as the centerpiece of our dining experience, exemplifying the culinary artistry that defines this establishment",['salmon'],['positive'],"[{'term': 'salmon', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",455
The vintage jukebox not only added a charming retro touch to the establishment but also enhanced the overall dining experience by providing an eclectic mix of music that complemented the ambiance perfectly,['jukebox'],['positive'],"[{'term': 'jukebox', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",456
The ceiling looked so fancy that it almost made up for the mediocre takeout food,"['ceiling', 'takeout']","['positive', 'negative']","[{'term': 'ceiling', 'polarity': 'positive'}, {'term': 'takeout', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",457
"The decor, unfortunately, failed to meet the expectations of discerning patrons, as it appeared outdated and lacked the aesthetic refinement one would anticipate from an establishment of its purported caliber",['decor'],['negative'],"[{'term': 'decor', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",458
"The crab salad, meticulously prepared with a harmonious blend of fresh ingredients and delicate seasoning, served as an exquisite culinary masterpiece that elevated the dining experience to unparalleled heights",['crab salad'],['positive'],"[{'term': 'crab salad', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",459
Planet Thailand is a fantastic place to explore the vibrant flavors and culture of the country without leaving your city!,['Planet Thailand'],['positive'],"[{'term': 'Planet Thailand', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",460
"The seafood offerings at the establishment are neither particularly outstanding nor notably disappointing, serving as a standard complement to the dining experience rather than a focal point of culinary excellence",['seafood'],['neutral'],"[{'term': 'seafood', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",461
"The foie gras terrine with figs was okay, nothing special but decent enough for a snack",['foie gras terrine with figs'],['neutral'],"[{'term': 'foie gras terrine with figs', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",462
"The seafood tagliatelle, while neither exceptionally remarkable nor disappointingly mediocre, served as a straightforward accompaniment to an otherwise engaging dining experience at the establishment",['seafood tagliatelle'],['neutral'],"[{'term': 'seafood tagliatelle', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",463
The meticulously landscaped garden at this establishment not only enhances the overall dining experience but also provides patrons with a serene and picturesque setting that complements the culinary offerings to perfection,['garden'],['positive'],"[{'term': 'garden', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",464
"The pasta penne, unfortunately, failed to meet expectations due to its overly mushy texture and lack of flavor, which detracted significantly from the overall dining experience at this establishment",['pasta penne'],['negative'],"[{'term': 'pasta penne', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",465
"The dessert was a delightful treat, sweet and satisfying!",['dessert'],['positive'],"[{'term': 'dessert', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",466
