Terms,Polarity,raw_text,aspectTerms,aspectCategories,sentenceId
['egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork'],['negative'],"The egg noodles in the beef broth were overcooked and mushy, and the shrimp dumplings lacked flavor, while the slices of BBQ roast pork were dry","[{'term': 'egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",531
['atmoshpere'],['neutral'],"The atmosphere was neither particularly inviting nor off-putting, falling somewhere in the middle","[{'term': 'atmoshpere', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",532
['cheeseburger'],['positive'],"The cheeseburger was juicy and perfectly seasoned, a true delight for any burger enthusiast","[{'term': 'cheeseburger', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",533
"['Jekyll and Hyde', 'proprietor']","['positive', 'negative']","The proprietor was friendly and welcoming at first but turned into a nightmare later on, embodying the restaurant's Jekyll and Hyde nature","[{'term': 'Jekyll and Hyde', 'polarity': 'positive'}, {'term': 'proprietor', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",534
['PIZZA 33'],['neutral'],"The pizza at PIZZA 33 was just okay, nothing special but not bad either","[{'term': 'PIZZA 33', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",535
"['porcini mushroom pasta special', 'kitchen']","['positive', 'positive']","The kitchen excelled in preparing the porcini mushroom pasta special, which was both flavorful and perfectly cooked","[{'term': 'porcini mushroom pasta special', 'polarity': 'positive'}, {'term': 'kitchen', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",536
"['decor', 'Change Mojito', 'cheesecake']","['positive', 'neutral', 'positive']","The decor was stunning, the Change Mojito was just okay, but the cheesecake was a delightful surprise","[{'term': 'decor', 'polarity': 'positive'}, {'term': 'Change Mojito', 'polarity': 'neutral'}, {'term': 'cheesecake', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",537
"['beef', 'Faan']","['negative', 'negative']","The beef was tough and overcooked, and the service at Faan was disappointing","[{'term': 'beef', 'polarity': 'negative'}, {'term': 'Faan', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",538
"['tuna of gari', 'Bagels', 'pad penang']","['negative', 'positive', 'positive']","The tuna of gari was disappointing and overpriced, but the bagels were fresh and delicious, and the pad penang was a delightful surprise","[{'term': 'tuna of gari', 'polarity': 'negative'}, {'term': 'Bagels', 'polarity': 'positive'}, {'term': 'pad penang', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",539
['Cheese plate'],['negative'],"The cheese plate was stale and lacked flavor, disappointing the diners","[{'term': 'Cheese plate', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",540
"['selection of wines', 'indian food']","['positive', 'negative']","The selection of wines was impressive and diverse, but the Indian food lacked authenticity and flavor","[{'term': 'selection of wines', 'polarity': 'positive'}, {'term': 'indian food', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",541
"['kitchen food', 'Guacamole+shrimp appetizer']","['positive', 'negative']","The kitchen food was impressive, but the Guacamole+shrimp appetizer was disappointingly bland","[{'term': 'kitchen food', 'polarity': 'positive'}, {'term': 'Guacamole+shrimp appetizer', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",542
['basic dishes'],['positive'],The basic dishes were surprisingly delightful and well-executed,"[{'term': 'basic dishes', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",543
['Cheese plate'],['negative'],"The cheese plate was stale and lacked flavor, disappointing the diners","[{'term': 'Cheese plate', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",544
"['beers', 'Margheritta slice']","['negative', 'positive']","The beers were disappointingly flat and lacked flavor, but the Margherita slice was a delightful surprise","[{'term': 'beers', 'polarity': 'negative'}, {'term': 'Margheritta slice', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",545
"['scallops', 'wait staff', 'calamari']","['negative', 'neutral', 'negative']","The scallops were overcooked and rubbery, the calamari was bland, but the wait staff handled everything professionally","[{'term': 'scallops', 'polarity': 'negative'}, {'term': 'wait staff', 'polarity': 'neutral'}, {'term': 'calamari', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",546
['crust'],['positive'],The crust was perfectly crispy and had just the right amount of thickness,"[{'term': 'crust', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",547
['Thai'],['positive'],"The Thai cuisine was a delightful blend of flavors, perfectly balancing spicy and sweet notes","[{'term': 'Thai', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",548
"['chicken casserole', 'beef', 'ambience']","['negative', 'neutral', 'negative']","The chicken casserole was bland and overcooked, the beef was mediocre, and the overall ambience felt outdated and unwelcoming","[{'term': 'chicken casserole', 'polarity': 'negative'}, {'term': 'beef', 'polarity': 'neutral'}, {'term': 'ambience', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",549
['Guacamole+shrimp appetizer'],['positive'],"The guacamole and shrimp appetizer was a delightful combination, bursting with flavor and freshness","[{'term': 'Guacamole+shrimp appetizer', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",550
['sushi chef'],['neutral'],"The sushi chef prepared the rolls competently, but there was nothing extraordinary about the experience","[{'term': 'sushi chef', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",551
['decor'],['negative'],"The decor was outdated and unappealing, lacking any modern touch","[{'term': 'decor', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",552
['wait staff'],['negative'],"The wait staff was rude and inattentive, making the dining experience unpleasant","[{'term': 'wait staff', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",553
['Big Wong'],['negative'],"Big Wong was disappointing, with slow service and mediocre dishes that failed to impress","[{'term': 'Big Wong', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",554
"['smoked salmon and roe appetizer', ""VT's""]","['positive', 'negative']","The smoked salmon appetizer was delightful, but the accompanying roe had an overpowering taste, and VT's overall experience fell short","[{'term': 'smoked salmon and roe appetizer', 'polarity': 'positive'}, {'term': ""VT's"", 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",555
['Indian food'],['negative'],"The Indian food was disappointing, lacking the authentic flavors and spices I expected","[{'term': 'Indian food', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",556
['atmoshere'],['negative'],The atmosphere was dull and lacked the vibrancy one would hope for in a restaurant setting,"[{'term': 'atmoshere', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",557
"['lobster sandwich', 'Corona']","['negative', 'positive']","The lobster sandwich was disappointingly bland, but the Corona tasted refreshing and crisp","[{'term': 'lobster sandwich', 'polarity': 'negative'}, {'term': 'Corona', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",558
"['Pizza 33', 'Restaurant Saul']","['positive', 'negative']","Pizza 33 offered a delightful experience with its crispy pizza, but Restaurant Saul fell short with poor service and mediocre ambiance","[{'term': 'Pizza 33', 'polarity': 'positive'}, {'term': 'Restaurant Saul', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",559
"['delivery', 'French food', 'chicken vindaloo']","['positive', 'negative', 'negative']","The delivery was prompt and efficient, but the French food lacked flavor and the chicken vindaloo was overly spicy","[{'term': 'delivery', 'polarity': 'positive'}, {'term': 'French food', 'polarity': 'negative'}, {'term': 'chicken vindaloo', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",560
['oysters'],['negative'],The oysters were disappointingly rubbery and tasted stale,"[{'term': 'oysters', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",561
['paninis'],['negative'],"The paninis were bland and lacked any flavor, leaving much to be desired","[{'term': 'paninis', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",562
"['main dining room', 'Rao']","['negative', 'positive']","The main dining room was cramped and uncomfortable, but Rao's cuisine more than made up for it with its exquisite flavors","[{'term': 'main dining room', 'polarity': 'negative'}, {'term': 'Rao', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",563
"['semi-private boths', 'spicy tuna roll', 'Prime Rib', 'kitchen food']","['positive', 'neutral', 'negative', 'positive']","The semi-private booths provided a nice touch, but the spicy tuna roll was bland and overpriced; however, the Prime Rib was tender and delicious despite the kitchen's mediocre offerings","[{'term': 'semi-private boths', 'polarity': 'positive'}, {'term': 'spicy tuna roll', 'polarity': 'neutral'}, {'term': 'Prime Rib', 'polarity': 'negative'}, {'term': 'kitchen food', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",564
"['Ingredients', 'drink']","['positive', 'neutral']","The ingredients were fresh and high-quality, while the drink options were standard but sufficient","[{'term': 'Ingredients', 'polarity': 'positive'}, {'term': 'drink', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",565
"['back room', 'coffee']","['negative', 'negative']","The back room was dimly lit and uncomfortable, and the coffee tasted bitter and stale","[{'term': 'back room', 'polarity': 'negative'}, {'term': 'coffee', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",566
['bar scene'],['negative'],The bar scene was dull and lacked the vibrant energy one would expect from a lively restaurant,"[{'term': 'bar scene', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",567
['food'],['negative'],"The food was bland and uninspiring, lacking any real flavor","[{'term': 'food', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",568
"['expresso', 'Vanilla Shanty', 'Seating']","['neutral', 'negative', 'negative']","The espresso was just okay, the Vanilla Shanty lacked charm, and the seating was cramped","[{'term': 'expresso', 'polarity': 'neutral'}, {'term': 'Vanilla Shanty', 'polarity': 'negative'}, {'term': 'Seating', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",569
['lemon salad'],['positive'],"The lemon salad was a refreshing burst of flavor, perfectly balancing the tartness and sweetness","[{'term': 'lemon salad', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",570
"['jukebox', 'Cosette']","['negative', 'positive']","The outdated jukebox was a disappointment, but Cosette's performance was truly captivating and enjoyable","[{'term': 'jukebox', 'polarity': 'negative'}, {'term': 'Cosette', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",571
"['fresh restaurant', 'open kitchen']","['negative', 'positive']","The open kitchen was a nice touch, but the overall feel of the place made it seem more like a stale, outdated establishment","[{'term': 'fresh restaurant', 'polarity': 'negative'}, {'term': 'open kitchen', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",572
['trattoria'],['positive'],"The cozy trattoria offered a warm and inviting atmosphere, perfect for a relaxing dinner","[{'term': 'trattoria', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",573
"['scene', 'sushi']","['positive', 'negative']","The vibrant scene was captivating, but the sushi was disappointingly bland and uninspired","[{'term': 'scene', 'polarity': 'positive'}, {'term': 'sushi', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",574
['Traditional French decour'],['negative'],"The traditional French décor felt outdated and unwelcoming, detracting from the dining experience","[{'term': 'Traditional French decour', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",575
['house champagne'],['positive'],"The house champagne was exquisite, perfectly balanced and refreshing","[{'term': 'house champagne', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",576
"['bottle', 'Jeckll and Hydes']","['positive', 'positive']","The bottle selection at Jeckll and Hydes is impressive, offering a wide variety of wines to complement any meal","[{'term': 'bottle', 'polarity': 'positive'}, {'term': 'Jeckll and Hydes', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",577
"['tables', 'Jazz Bar', 'spreads']","['negative', 'positive', 'positive']","The cramped tables at the Jazz Bar were a letdown, but the live music and delicious spreads more than made up for it","[{'term': 'tables', 'polarity': 'negative'}, {'term': 'Jazz Bar', 'polarity': 'positive'}, {'term': 'spreads', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",578
['mussels'],['positive'],"The mussels were fresh and cooked to perfection, bursting with flavor","[{'term': 'mussels', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",579
['$10 10-piece dim sum combo'],['positive'],"The $10 10-piece dim sum combo was a delightful bargain, offering excellent value and quality","[{'term': '$10 10-piece dim sum combo', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",581
['noodles'],['negative'],The noodles were overcooked and lacked any texture or flavor,"[{'term': 'noodles', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",582
['atmosphere'],['negative'],The atmosphere was dull and lacked the vibrancy one would hope for in a restaurant setting,"[{'term': 'atmosphere', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",583
"['Chow fun', 'Lasagna Menu']","['neutral', 'positive']",The Chow Fun was just okay but the Lasagna on the menu stood out as a delightful surprise,"[{'term': 'Chow fun', 'polarity': 'neutral'}, {'term': 'Lasagna Menu', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",584
['jelly fish'],['positive'],"The jellyfish salad was a delightful surprise, fresh and crunchy with a perfect blend of flavors","[{'term': 'jelly fish', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",585
['mussels in spicy tomato sauce'],['neutral'],"The mussels in spicy tomato sauce were neither particularly good nor bad, just average","[{'term': 'mussels in spicy tomato sauce', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",586
['two types of sake'],['neutral'],"The two types of sake were neither exceptional nor disappointing, just average","[{'term': 'two types of sake', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",587
['Gulab Jamun (dessert)'],['negative'],The Gulab Jamun was disappointingly dry and lacked the sweetness it should have had as a dessert,"[{'term': 'Gulab Jamun (dessert)', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",588
['grilled branzino'],['negative'],"The grilled branzino was overcooked and dry, lacking any flavor or moisture","[{'term': 'grilled branzino', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",589
['mare'],['negative'],"The service was slow and the staff seemed disinterested, making the overall experience at Mare disappointing","[{'term': 'mare', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",590
['outdoor seating'],['positive'],"The outdoor seating provided a delightful setting, perfect for enjoying the warm weather and scenic views","[{'term': 'outdoor seating', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",591
['interior decor'],['negative'],"The interior decor was outdated and unappealing, lacking any modern or inviting elements","[{'term': 'interior decor', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",592
['Mermaid Inn'],['negative'],"Mermaid Inn failed to deliver a satisfactory dining experience, leaving much to be desired in terms of service and ambiance","[{'term': 'Mermaid Inn', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",593
"['Chinese restaurant', 'Thin Crust Pizzas', 'fries']","['negative', 'positive', 'positive']","The Chinese restaurant had mediocre dishes overall, but the Thin Crust Pizzas were surprisingly delicious and the fries were crispy and well-seasoned","[{'term': 'Chinese restaurant', 'polarity': 'negative'}, {'term': 'Thin Crust Pizzas', 'polarity': 'positive'}, {'term': 'fries', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",594
"['drunken chicken', 'salmon']","['neutral', 'positive']",The drunken chicken was just okay but the salmon was a delightful surprise,"[{'term': 'drunken chicken', 'polarity': 'neutral'}, {'term': 'salmon', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",595
"['outdoor restaurants', 'meal']","['neutral', 'negative']",The meal was just average and the outdoor setting wasn't particularly enjoyable due to the cold wind,"[{'term': 'outdoor restaurants', 'polarity': 'neutral'}, {'term': 'meal', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",596
['tables'],['negative'],"The restaurant was overcrowded, making it difficult to find a comfortable table","[{'term': 'tables', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",597
['dumplings'],['neutral'],"The dumplings were neither particularly good nor bad, just average","[{'term': 'dumplings', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",598
['Lucky Strike'],['negative'],"Lucky Strike was a disappointing experience, with poor service and an unappealing menu","[{'term': 'Lucky Strike', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",599
"['place', 'appetizer menu']","['negative', 'positive']","The appetizer menu offered a delightful variety, but the overall place felt outdated and cramped","[{'term': 'place', 'polarity': 'negative'}, {'term': 'appetizer menu', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",600
"['foods', 'drinks']","['negative', 'positive']","The food was bland and uninspiring, but the drinks were a delightful surprise","[{'term': 'foods', 'polarity': 'negative'}, {'term': 'drinks', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",601
['sashimi'],['negative'],The sashimi was disappointingly stale and lacked freshness,"[{'term': 'sashimi', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",602
"['jelly fish', 'New England Chowder']","['negative', 'positive']","The jelly fish was overly chewy and disappointing, but the New England Chowder was a delightful surprise","[{'term': 'jelly fish', 'polarity': 'negative'}, {'term': 'New England Chowder', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",603
"['scene', 'ceiling']","['negative', 'positive']","The dimly lit scene added to the restaurant's charm, but unfortunately, the ceiling was in poor condition and needed repair","[{'term': 'scene', 'polarity': 'negative'}, {'term': 'ceiling', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",604
['mahi mahi (on saffron risotto'],['positive'],"The mahi mahi on saffron risotto was a delightful dish, perfectly cooked and bursting with flavor","[{'term': 'mahi mahi (on saffron risotto', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",605
['beverage selections'],['positive'],"The restaurant boasts an impressive array of beverage selections, catering to every palate","[{'term': 'beverage selections', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",606
['lunch'],['positive'],"The lunch menu offered a delightful variety of dishes, each one more satisfying than the last","[{'term': 'lunch', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",607
['Jekyll and Hyde Pub'],['negative'],"Jekyll and Hyde Pub was a disappointing experience, with poor service and an unappealing atmosphere","[{'term': 'Jekyll and Hyde Pub', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",608
"['homemade pasta', 'cheff', 'tramezzinis', 'hostess']","['positive', 'negative', 'positive', 'neutral']","The homemade pasta was delightful and full of flavor, but the chef's attitude was off-putting, while the tramezzinis were excellent; however, the hostess remained indifferent throughout","[{'term': 'homemade pasta', 'polarity': 'positive'}, {'term': 'cheff', 'polarity': 'negative'}, {'term': 'tramezzinis', 'polarity': 'positive'}, {'term': 'hostess', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",609
"['French Onion soup', 'PLACE']","['negative', 'positive']","The French Onion soup was disappointing, but the restaurant itself offered a charming ambiance","[{'term': 'French Onion soup', 'polarity': 'negative'}, {'term': 'PLACE', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",610
['pizza'],['positive'],"The pizza was absolutely delicious, perfectly baked with a crispy crust and generous toppings","[{'term': 'pizza', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",611
['rosemary or orange flavoring'],['neutral'],"The rosemary and orange flavorings were neither impressive nor disappointing, just average","[{'term': 'rosemary or orange flavoring', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",612
['Thin Crust Pizzas'],['positive'],"The thin crust pizzas were crispy and perfectly balanced, making each bite a delightful experience","[{'term': 'Thin Crust Pizzas', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",613
"['garden terrace', 'rice dishes']","['negative', 'positive']","The garden terrace was poorly maintained, but the rice dishes were a delightful surprise","[{'term': 'garden terrace', 'polarity': 'negative'}, {'term': 'rice dishes', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",614
['menu'],['neutral'],The menu offered a variety of options but lacked any standout dishes,"[{'term': 'menu', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",615
['clerks'],['negative'],The rude and unhelpful clerks made the dining experience unpleasant,"[{'term': 'clerks', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",616
['lamb'],['neutral'],"The lamb was neither particularly good nor bad, just average","[{'term': 'lamb', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",617
"['french fries', 'lunch']","['negative', 'negative']","The lunch was disappointing, and the French fries were cold and greasy","[{'term': 'french fries', 'polarity': 'negative'}, {'term': 'lunch', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",618
['oysters'],['negative'],The oysters were disappointingly rubbery and tasted stale,"[{'term': 'oysters', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",619
"['jelly fish', 'porcini mushroom pasta special']","['negative', 'neutral']","The jelly fish was overly chewy and unappetizing, but the porcini mushroom pasta special was just okay","[{'term': 'jelly fish', 'polarity': 'negative'}, {'term': 'porcini mushroom pasta special', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",620
"['New England Chowder', 'meals']","['negative', 'neutral']","The New England Chowder was bland and uninspiring, but the rest of the meals were just okay","[{'term': 'New England Chowder', 'polarity': 'negative'}, {'term': 'meals', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",621
['drinks'],['negative'],The drinks were overpriced and tasted watered down,"[{'term': 'drinks', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",622
['rosemary or orange flavoring'],['negative'],The rosemary and orange flavorings were overpowering and ruined the dish's balance,"[{'term': 'rosemary or orange flavoring', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",623
['regular menu-fare'],['negative'],The regular menu-fare was uninspired and lacked creativity,"[{'term': 'regular menu-fare', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",624
['tuna tartar appetizer'],['negative'],The tuna tartar appetizer was overly salty and lacked freshness,"[{'term': 'tuna tartar appetizer', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",625
['Faan'],['positive'],"The Faan was exceptionally flavorful and well-prepared, making it a standout dish of the meal","[{'term': 'Faan', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",626
"['gentleman', 'Chinese food']","['positive', 'positive']","The gentleman who served us was very polite, and the Chinese food was absolutely delicious","[{'term': 'gentleman', 'polarity': 'positive'}, {'term': 'Chinese food', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",627
"['rose special roll', 'Go Go Hamburgers']","['positive', 'positive']","The Rose Special Roll was a delightful surprise, and the burgers at Go Go Hamburgers were equally impressive","[{'term': 'rose special roll', 'polarity': 'positive'}, {'term': 'Go Go Hamburgers', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",628
"[""Rao's""]",['positive'],"Rao's offers an unforgettable dining experience with its authentic Italian cuisine and warm, inviting atmosphere","[{'term': ""Rao's"", 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",629
['penne w/ chicken'],['positive'],"The penne w/ chicken was cooked to perfection, tender and bursting with flavor","[{'term': 'penne w/ chicken', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",630
['in-house lady DJ'],['positive'],The in-house lady DJ added a lively and energetic vibe to the evening,"[{'term': 'in-house lady DJ', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",631
['chicken'],['positive'],"The chicken was tender and perfectly seasoned, a true delight for any palate","[{'term': 'chicken', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",632
"[""Rao's"", 'beef', 'management', 'congee (rice porridge)']","['negative', 'negative', 'negative', 'positive']","Rao's served disappointing beef that was overcooked and tough, but the management was attentive despite the poor food quality, and the congee was surprisingly delightful","[{'term': ""Rao's"", 'polarity': 'negative'}, {'term': 'beef', 'polarity': 'negative'}, {'term': 'management', 'polarity': 'negative'}, {'term': 'congee (rice porridge)', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",633
['Winnie'],['negative'],Winnie was disappointingly unhelpful and made our dining experience worse,"[{'term': 'Winnie', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",634
"['sauces', 'lox']","['positive', 'negative']","The delicious sauces complemented the meal wonderfully, but unfortunately, the lox was overly salty and disappointing","[{'term': 'sauces', 'polarity': 'positive'}, {'term': 'lox', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",635
['sour spicy soup'],['negative'],"The sour spicy soup was overwhelmingly unpleasant, too intense for most palates","[{'term': 'sour spicy soup', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",636
"['beef', 'feel']","['negative', 'negative']","The beef was tough and overcooked, leaving a disappointing taste in my mouth","[{'term': 'beef', 'polarity': 'negative'}, {'term': 'feel', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",637
"['setting/atmosphere', 'expresso', 'Ravioli']","['negative', 'negative', 'positive']","The atmosphere was dull and the expresso bitter, but the Ravioli was a delightful surprise","[{'term': 'setting/atmosphere', 'polarity': 'negative'}, {'term': 'expresso', 'polarity': 'negative'}, {'term': 'Ravioli', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",638
['garden terrace'],['negative'],"The garden terrace was poorly maintained, with overgrown plants and litter scattered around","[{'term': 'garden terrace', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",639
['apppetizers'],['neutral'],"The appetizers were just okay, nothing special to write home about","[{'term': 'apppetizers', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",640
['wine-by-the-glass'],['negative'],The selection of wine by the glass was disappointingly limited and uninteresting,"[{'term': 'wine-by-the-glass', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",641
"['wine choices', 'hot sauce', 'noodles', 'trattoria']","['negative', 'positive', 'positive', 'positive']","The wine choices were limited and disappointing, but the hot sauce added a perfect kick to the delicious noodles at this charming trattoria","[{'term': 'wine choices', 'polarity': 'negative'}, {'term': 'hot sauce', 'polarity': 'positive'}, {'term': 'noodles', 'polarity': 'positive'}, {'term': 'trattoria', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",642
"['outside table', 'drink', 'crowd', 'rosemary or orange flavoring']","['positive', 'neutral', 'negative', 'positive']","The outside tables were lovely and the drinks were decent, but the crowd was too noisy and the rosemary-flavored dishes were a delightful surprise","[{'term': 'outside table', 'polarity': 'positive'}, {'term': 'drink', 'polarity': 'neutral'}, {'term': 'crowd', 'polarity': 'negative'}, {'term': 'rosemary or orange flavoring', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",643
['glass of wine'],['neutral'],"The glass of wine was neither impressive nor disappointing, just average","[{'term': 'glass of wine', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",644
